sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F12","unccdh","unc snp","kid unc07","Sample","1010.0","5.7%","3774","1025","2749","-"
"F12","unccdh","unc wt","kid unc07","Sample","151.6","9.9%","8204","381","7823","-"
"G1","slcvsir","slc snp","kid epb01","Sample","469.9","5.6%","8239","1145","7094","-"
"G1","slcvsir","slc wt","kid epb01","Sample","210.8","8.3%","8239","535","7704","-"
"G1","slcvsir","vsir snp","kid epb01","Sample","31.8","21.6%","8231","83","8148","-"
"G1","slcvsir","vsir wt","kid epb01","Sample","42.6","18.6%","8239","111","8128","-"
"G2","slcvsir","slc snp","kid epb02","Sample","744.7","4.5%","8252","1708","6544","-"
"G2","slcvsir","slc wt","kid epb02","Sample","366.6","6.4%","8249","890","7359","-"
"G2","slcvsir","vsir snp","kid epb02","Sample","67.8","14.9%","8232","172","8060","-"
"G2","slcvsir","vsir wt","kid epb02","Sample","88.4","13.1%","8249","224","8025","-"
"G3","slcvsir","slc snp","kid epb03","Sample","1059.4","3.8%","8266","2308","5958","-"
"G3","slcvsir","slc wt","kid epb03","Sample","525.5","5.3%","8266","1239","7027","-"
"G3","slcvsir","vsir snp","kid epb03","Sample","86.9","13.2%","8266","219","8047","-"
