sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"F2","psapsgpl","sgpl wt","tes epb03","Sample","263.6","7.6%","8151","647","7504","-"
"F3","psapsgpl","psap snp","tes epb04","Sample","50.5","26.1%","3711","57","3654","-"
"F3","psapsgpl","psap wt","tes epb04","Sample","106.8","16.6%","4284","138","4146","-"
"F3","psapsgpl","sgpl snp","tes epb04","Sample","126.2","11%","8243","313","7930","-"
"F3","psapsgpl","sgpl wt","tes epb04","Sample","175.9","9.3%","8243","433","7810","-"
"F4","psapsgpl","psap snp","tes epb05","Sample","1180.6","3.6%","8226","2459","5767","-"
"F4","psapsgpl","psap wt","tes epb05","Sample","1117.9","3.7%","8225","2349","5876","-"
"F4","psapsgpl","sgpl snp","tes epb05","Sample","77.3","14.2%","8225","189","8036","-"
"F4","psapsgpl","sgpl wt","tes epb05","Sample","86.4","13.4%","8227","211","8016","-"
"F5","psapsgpl","psap snp","tes epb06","Sample","1100.4","3.8%","8225","2295","5930","-"
"F5","psapsgpl","psap wt","tes epb06","Sample","1036.7","3.9%","8223","2181","6042","-"
"F5","psapsgpl","sgpl snp","tes epb06","Sample","103.0","12.4%","8224","248","7976","-"
"F5","psapsgpl","sgpl wt","tes epb06","Sample","108.5","12%","8225","261","7964","-"
"F6","psapsgpl","psap snp","tes unc04","Sample","1285.8","3.5%","8201","2639","5562","-"
"F6","psapsgpl","psap wt","tes unc04","Sample","1134.1","3.7%","8200","2378","5822","-"
"F6","psapsgpl","sgpl snp","tes unc04","Sample","98.8","12.6%","8201","241","7960","-"
"F6","psapsgpl","sgpl wt","tes unc04","Sample","102.9","12.3%","8200","251","7949","-"
"F7","psapsgpl","psap snp","tes unc05","Sample","972.5","4%","8240","2076","6164","-"
"F7","psapsgpl","psap wt","tes unc05","Sample","894.2","4.2%","8239","1930","6309","-"
"F7","psapsgpl","sgpl snp","tes unc05","Sample","71.5","14.8%","8239","174","8065","-"
"F7","psapsgpl","sgpl wt","tes unc05","Sample","85.7","13.5%","8240","208","8032","-"
"F8","psapsgpl","psap snp","tes unc06","Sample","1246.9","3.5%","8219","2579","5640","-"
"F8","psapsgpl","psap wt","tes unc06","Sample","1052.8","3.9%","7769","2116","5653","-"
"F8","psapsgpl","sgpl snp","tes unc06","Sample","95.2","12.8%","8219","233","7986","-"
"F8","psapsgpl","sgpl wt","tes unc06","Sample","99.4","12.5%","8219","243","7976","-"
"F9","psapsgpl","psap snp","tes unc07","Sample","2034.1","2.8%","7826","3602","4224","-"
"F9","psapsgpl","psap wt","tes unc07","Sample","1880.7","3.1%","6802","2956","3846","-"
"F9","psapsgpl","sgpl snp","tes unc07","Sample","159.1","9.9%","8131","383","7748","-"
"F9","psapsgpl","sgpl wt","tes unc07","Sample","166.4","9.7%","8132","400","7732","-"
"F10","psapsgpl","psap snp","tes unc08","Sample","2820.5","2.3%","8167","4717","3450","-"
"F10","psapsgpl","psap wt","tes unc08","Sample","2527.6","2.6%","7442","4004","3438","-"
"F10","psapsgpl","sgpl snp","tes unc08","Sample","229.1","8.2%","8167","552","7615","-"
"F10","psapsgpl","sgpl wt","tes unc08","Sample","271.5","7.5%","8167","650","7517","-"
